\textbf{Diffuse Galactic plane analyses} , \textbf{Flux sensitivity $\Phi$} , \textbf{p-value}   , \textbf{Best fitting flux $\Phi$}
$\pi^0$ ,  5.98 ,  1.26$\times$10$^{-6}$  (4.71$\sigma$) ,  21.8 $^{+5.3}_{-4.9}$
KRA$_\gamma^{5}$ , 0.16$\times$MF ,  6.13$\times$10$^{-6}$  (4.37$\sigma$) ,   0.55$^{+0.18}_{-0.15}\times$MF
KRA$_\gamma^{50}$ , 0.11$\times$MF ,  3.72$\times$10$^{-5}$ (3.96$\sigma$) ,  0.37$^{+0.13}_{-0.11}\times$MF
 
\textbf{Catalog stacking analyses} , - , \textbf{p-value}) , - 
SNR , -  , 5.90$\times$10$^{-4}$ (3.24$\sigma$)$^*$ , - 
PWN , - ,  5.93$\times$10$^{-4}$ (3.24$\sigma$)$^*$ , - 
UNID , - ,  3.39$\times$10$^{-4}$ (3.40$\sigma$)$^*$ , - 

\textbf{Other analyses} , - , \textbf{p-value}), - 
Fermi bubbles , - , 0.06   (1.52$\sigma$), - 

Source list , - ,   0.22  (0.77$\sigma$), - 
Hotspot (North) , - ,  0.28  (0.58$\sigma$), -    
Hotspot (South) , - ,  0.46  (0.10$\sigma$), -    
