Catalog , Source , $\alpha$ [$^\circ$] , $\delta$ [$^\circ$] 
SNR , Vela Junior  , 133.0 , -46.33  
SNR , RX J1713.7-3946 , 258.36 , -39.77 
SNR , HESS J1614-518 , 243.56 , -51.82 
SNR , HESS J1457-593 , 223.7 , -59.07 
SNR , SNR G323.7-01.0 , 233.63 , -57.2 
SNR , HESS J1731-347 , 262.98 , -34.71 
SNR , Gamma Cygni , 305.27 , 40.52 
SNR , RCW 86 , 220.12 , -62.65 
SNR , HESS J1912+101 , 288.33 , 10.19 
SNR , HESS J1745-303 , 266.3 , -30.2 
SNR , Cassiopeia A , 350.85 , 58.81  
SNR , CTB 37A , 258.64 , -38.54 
PWN , Vela X , 128.29 , -45.19 
PWN , Crab nebula , 83.63 , 22.01 
PWN , HESS J1708-443 , 257.0 , -44.3 
PWN , HESS J1825-137 , 276.55 , -13.58 
PWN , HESS J1632-478 , 248.01 , -47.87 
PWN , MSH 15-52 , 228.53 , -59.16 
PWN , HESS J1813-178 , 273.36 , -17.86 
PWN , HESS J1303-631 , 195.75 , -63.2 
PWN , HESS J1616-508 , 244.06 , -50.91 
PWN , HESS J1418-609 , 214.69 , -60.98  
PWN , HESS J1837-069 , 279.43 , -6.93  
PWN , HESS J1026-582 , 157.17 , -58.29 
UNID , MGRO J1908+06 , 286.91.0 , 6.32 
UNID , Westerlund 1 , 251.5 , -45.8 
UNID , HESS J1702-420 , 255.68 , -42.02 
UNID , 2HWC J1814-173 , 273.52 , -17.31 
UNID , HESS J1841-055 , 280.23 , -5.55 
UNID , 2HWC J1819-150 , 274.83 , -15.06 
UNID , HESS J1804-216 , 271.12 , -21.73 
UNID , HESS J1809-193 , 272.63 , -19.3 
UNID , HESS J1843-033 , 280.75 , -3.3 
UNID , TeV J2032+4130 , 307.93 , 41.51 
UNID , HESS J1708-410 , 257.10 , -41.09 
UNID , HESS J1857+026 , 284.30 , 2.67 
