Source Number , Source Name , RA , Dec , ns , gamma , pvalue$_{pre}$ , $\Phi_2$ , $\Phi_3$
1 , G343.1-2.3 , 257.0 , -44.3  , 77.6 , 2.9  , 0.011 , \textless3.34 , \textless1.58
2 , HESS J0835-455 , 128.3 , -45.2  , 0.2 , 2.0  , 0.719 , \textless0.59 , \textless0.28
3 , PKS 0426-380 , 67.2 , -37.9  , 3.0 , 2.3  , 0.640 , \textless0.81 , \textless0.42
4 , PKS 2155-304 , 329.7 , -30.2  , 61.5 , 4.0  , 0.249 , \textless1.52 , \textless1.02
5 , Mkn 421 , 166.1 , 38.2  , 0.0 , -- , -- , \textless1.13 , \textless0.32
6 , PKS 0537-441 , 84.7 , -44.1  , 1.1 , 1.8  , 0.576 , \textless0.89 , \textless0.45
7 , PKS 0447-439 , 72.4 , -43.8  , 0.7 , 2.1  , 0.698 , \textless0.62 , \textless0.31
8 , BL Lac , 330.7 , 42.3  , 7.6 , 1.6  , 0.340 , \textless2.73 , \textless0.77
9 , PG 1553+113 , 238.9 , 11.2  , 0.0 , -- , -- , \textless0.68 , \textless0.35
10 , TXS 0518+211 , 80.4 , 21.2  , 149.3 , 3.4  , 0.035 , \textless4.24 , \textless1.59
11 , PKS 0235+164 , 39.7 , 16.6  , 0.0 , -- , -- , \textless0.67 , \textless0.31
12 , PKS 1424+240 , 216.8 , 23.8  , 7.7 , 1.3  , 0.095 , \textless3.55 , \textless1.26
13 , 3C 66A , 35.7 , 43.0  , 85.8 , 3.7  , 0.238 , \textless3.44 , \textless0.89
14 , TXS 0506+056 , 77.4 , 5.7  , 0.0 , -- , -- , \textless0.61 , \textless0.39
15 , AP Librae , 229.4 , -24.4  , 0.3 , 1.0  , 0.725 , \textless0.61 , \textless0.34
16 , S5 0716+71 , 110.5 , 71.3  , 1.9 , 1.0  , 0.532 , \textless3.94 , \textless0.58
17 , B2 1215+30 , 184.5 , 30.1  , 5.2 , 2.2  , 0.573 , \textless1.80 , \textless0.53
18 , MH 2136-428 , 324.9 , -42.6  , 0.0 , -- , -- , \textless0.53 , \textless0.27
19 , PKS 2233-148 , 339.1 , -14.6  , 25.8 , 4.0  , 0.584 , \textless0.93 , \textless0.65
20 , Mkn 501 , 253.5 , 39.8  , 4.1 , 1.0  , 0.514 , \textless2.09 , \textless0.60
21 , PMN J1603-4904 , 241.0 , -49.1  , 84.5 , 3.1  , 0.010 , \textless3.49 , \textless1.59
22 , S2 0109+22 , 18.0 , 22.8  , 147.8 , 4.0  , 0.077 , \textless3.75 , \textless1.31
23 , PKS 0301-243 , 45.9 , -24.1  , 44.3 , 3.6  , 0.405 , \textless1.37 , \textless0.76
24 , 4C +01.28 , 164.6 , 1.6  , 16.1 , 1.2  , 0.025 , \textless3.27 , \textless2.42
25 , PKS 0700-661 , 105.1 , -66.2  , 28.8 , 2.9  , 0.239 , \textless1.72 , \textless0.82
26 , TXS 0628-240 , 97.7 , -24.1  , 0.9 , 3.0  , 0.746 , \textless0.55 , \textless0.31
27 , PKS 0823-223 , 126.5 , -22.5  , 2.0 , 2.0  , 0.553 , \textless1.01 , \textless0.58
28 , PKS 0735+17 , 114.5 , 17.7  , 63.6 , 4.0  , 0.376 , \textless2.16 , \textless0.91
29 , PMN J1329-5608 , 202.3 , -56.1  , 40.3 , 4.0  , 0.276 , \textless1.48 , \textless0.77
30 , PMN J0531-4827 , 83.0 , -48.5  , 0.0 , -- , -- , \textless0.55 , \textless0.26
31 , MG1 J021114+1051 , 32.8 , 10.9  , 28.7 , 4.0  , 0.622 , \textless1.22 , \textless0.66
32 , PKS 1440-389 , 221.0 , -39.1  , 11.0 , 1.0  , 0.175 , \textless2.07 , \textless1.10
33 , OT 081 , 267.9 , 9.6  , 35.2 , 2.8  , 0.356 , \textless1.88 , \textless1.10
34 , OJ 287 , 133.7 , 20.1  , 28.6 , 2.7  , 0.473 , \textless1.84 , \textless0.74
35 , PKS 1101-536 , 166.0 , -54.0  , 0.0 , -- , -- , \textless0.46 , \textless0.23
36 , TXS 0141+268 , 26.2 , 27.1  , 1.4 , 3.2  , 0.706 , \textless1.17 , \textless0.37
37 , 1H 1013+498 , 153.8 , 49.4  , 4.2 , 2.6  , 0.676 , \textless1.65 , \textless0.36
38 , PKS 0048-09 , 12.7 , -9.5  , 115.2 , 3.6  , 0.089 , \textless2.35 , \textless1.68
39 , PMN J1650-5044 , 252.6 , -50.8  , 88.1 , 2.9  , 0.002 , \textless4.02 , \textless1.93
40 , PKS 0118-272 , 20.1 , -27.0  , 44.8 , 3.9  , 0.378 , \textless1.38 , \textless0.82
41 , 1H 1914-194 , 289.4 , -19.4  , 26.9 , 2.5  , 0.152 , \textless2.30 , \textless1.26
42 , PKS 0332-403 , 53.6 , -40.1  , 9.8 , 2.4  , 0.481 , \textless1.13 , \textless0.59
43 , OJ 014 , 122.9 , 1.8  , 2.6 , 4.0  , 0.771 , \textless0.57 , \textless0.39
44 , PMN J1918-4111 , 289.6 , -41.2  , 54.6 , 3.7  , 0.256 , \textless1.72 , \textless0.89
45 , PKS 1936-623 , 295.3 , -62.2  , 26.6 , 4.0  , 0.420 , \textless1.19 , \textless0.55
46 , 1H 1720+117 , 261.3 , 11.9  , 6.8 , 2.7  , 0.712 , \textless0.91 , \textless0.49
47 , PMN J1610-6649 , 242.7 , -66.8  , 10.1 , 2.9  , 0.588 , \textless0.84 , \textless0.41
48 , PMN J0334-3725 , 53.6 , -37.4  , 10.7 , 2.4  , 0.456 , \textless1.25 , \textless0.65
49 , TXS 1714-336 , 259.4 , -33.7  , 67.7 , 2.9  , 0.028 , \textless2.68 , \textless1.54
50 , PKS 2005-489 , 302.4 , -48.8  , 0.0 , -- , -- , \textless0.54 , \textless0.26
51 , PKS B1056-113 , 164.8 , -11.6  , 19.6 , 2.1  , 0.096 , \textless2.27 , \textless1.66
52 , RGB J2243+203 , 341.0 , 20.4  , 163.1 , 4.0  , 0.022 , \textless4.53 , \textless1.82
53 , 1ES 1959+650 , 300.0 , 65.1  , 150.0 , 4.0  , 0.071 , \textless7.30 , \textless1.14
54 , S4 0814+42 , 124.6 , 42.4  , 15.4 , 4.0  , 0.568 , \textless1.74 , \textless0.49
55 , KUV 00311-1938 , 8.4 , -19.4  , 109.8 , 3.6  , 0.063 , \textless2.91 , \textless1.61
56 , PMN J2250-2806 , 342.7 , -28.1  , 59.1 , 4.0  , 0.244 , \textless1.62 , \textless1.05
57 , 1RXS J130421.2-435308 , 196.1 , -43.9  , 7.1 , 2.3  , 0.473 , \textless1.11 , \textless0.57
58 , PMN J0810-7530 , 122.8 , -75.5  , 16.5 , 4.0  , 0.598 , \textless0.79 , \textless0.44
59 , 3C 454.3 , 343.5 , 16.2  , 106.2 , 4.0  , 0.188 , \textless2.67 , \textless1.25
60 , PKS 1424-41 , 217.0 , -42.1  , 10.1 , 1.0  , 0.280 , \textless1.63 , \textless0.83
61 , 3C 279 , 194.0 , -5.8  , 10.1 , 1.0  , 0.120 , \textless1.90 , \textless1.63
62 , CTA 102 , 338.2 , 11.7  , 129.6 , 4.0  , 0.102 , \textless3.09 , \textless1.60
63 , PKS 1510-089 , 228.2 , -9.1  , 4.8 , 1.0  , 0.212 , \textless1.79 , \textless1.34
64 , PKS 0454-234 , 74.3 , -23.4  , 0.0 , -- , -- , \textless0.55 , \textless0.30
65 , PKS 1502+106 , 226.1 , 10.5  , 8.7 , 1.0  , 0.422 , \textless1.79 , \textless0.99
66 , PKS 1830-211 , 278.4 , -21.1  , 70.4 , 2.8  , 0.033 , \textless3.07 , \textless1.68
67 , PKS 2326-502 , 352.3 , -49.9  , 6.6 , 2.1  , 0.265 , \textless1.66 , \textless0.84
68 , PKS 0727-11 , 112.6 , -11.7  , 8.2 , 2.6  , 0.598 , \textless0.83 , \textless0.65
69 , 4C +21.35 , 186.2 , 21.4  , 11.4 , 1.5  , 0.162 , \textless3.09 , \textless1.15
70 , PMN J2345-1555 , 356.3 , -15.9  , 11.9 , 3.3  , 0.646 , \textless0.78 , \textless0.53
71 , 4C +01.02 , 17.2 , 1.6  , 74.8 , 3.8  , 0.336 , \textless1.66 , \textless1.18
72 , PKS 2023-07 , 306.4 , -7.6  , 122.8 , 3.5  , 0.060 , \textless2.32 , \textless1.76
73 , Ton 599 , 179.9 , 29.2  , 14.5 , 2.4  , 0.405 , \textless2.49 , \textless0.74
74 , 4C +38.41 , 248.8 , 38.1  , 3.5 , 1.0  , 0.573 , \textless1.84 , \textless0.54
75 , PKS 1244-255 , 191.7 , -25.8  , 3.9 , 1.0  , 0.128 , \textless2.04 , \textless1.28
76 , B2 1520+31 , 230.5 , 31.7  , 9.3 , 1.0  , 0.013 , \textless6.59 , \textless1.93
77 , PKS 1124-186 , 171.8 , -19.0  , 0.0 , -- , -- , \textless0.56 , \textless0.33
78 , 4C +28.07 , 39.5 , 28.8  , 0.0 , -- , -- , \textless1.15 , \textless0.36
79 , PKS 1730-13 , 263.3 , -13.1  , 51.2 , 2.7  , 0.128 , \textless2.27 , \textless1.59
80 , PKS 0805-07 , 122.1 , -7.9  , 2.4 , 2.3  , 0.676 , \textless0.69 , \textless0.53
81 , PKS 0208-512 , 32.7 , -51.0  , 4.9 , 1.8  , 0.144 , \textless1.97 , \textless1.03
82 , PKS 0336-01 , 54.9 , -1.8  , 11.0 , 4.0  , 0.729 , \textless0.62 , \textless0.47
83 , PKS 0502+049 , 76.3 , 5.0  , 0.0 , -- , -- , \textless0.61 , \textless0.39
84 , PKS 0402-362 , 61.0 , -36.1  , 2.2 , 2.2  , 0.672 , \textless0.71 , \textless0.38
85 , PMN J1802-3940 , 270.7 , -39.7  , 76.7 , 3.1  , 0.043 , \textless2.81 , \textless1.39
86 , PKS 1622-253 , 246.4 , -25.5  , 36.6 , 2.6  , 0.089 , \textless2.26 , \textless1.36
87 , PKS 2052-47 , 314.1 , -47.2  , 0.0 , -- , -- , \textless0.55 , \textless0.26
88 , 3C 273 , 187.3 , 2.0  , 11.3 , 1.0  , 0.227 , \textless2.01 , \textless1.41
89 , PKS 2142-75 , 326.8 , -75.6  , 2.6 , 1.0  , 0.744 , \textless0.49 , \textless0.26
90 , MG1 J123931+0443 , 189.9 , 4.7  , 9.3 , 1.0  , 0.217 , \textless2.21 , \textless1.42
91 , MG2 J201534+3710 , 303.9 , 37.2  , 113.6 , 3.1  , 0.039 , \textless5.29 , \textless1.51
92 , Galactic Centre , 266.4 , -29.0  , 58.7 , 2.7  , 0.022 , \textless2.79 , \textless1.67
93 , PKS 2247-131 , 342.5 , -12.8  , 7.3 , 4.0  , 0.709 , \textless0.62 , \textless0.46
94 , NGC 1275 , 50.0 , 41.5  , 29.3 , 3.3  , 0.529 , \textless2.01 , \textless0.57
95 , PKS 0521-36 , 80.7 , -36.5  , 5.7 , 2.0  , 0.237 , \textless1.75 , \textless1.00
96 , Cen A , 201.0 , -43.5  , 9.4 , 2.4  , 0.398 , \textless1.30 , \textless0.66
97 , LMC , 80.0 , -68.8  , 31.5 , 4.0  , 0.327 , \textless1.38 , \textless0.71
98 , SMC , 14.5 , -72.8  , 43.1 , 1.0  , 0.174 , \textless1.77 , \textless0.94
99 , NGC 4945 , 196.4 , -49.5  , 7.3 , 2.4  , 0.425 , \textless1.28 , \textless0.63
100 , NGC 253 , 11.9 , -25.3  , 51.4 , 3.8  , 0.328 , \textless1.43 , \textless0.88
101 , NGC 1068 , 40.7 , -0.0  , 87.1 , 4.0  , 0.252 , \textless1.88 , \textless1.36
102 , M 82 , 148.9 , 69.7  , 22.9 , 2.9  , 0.564 , \textless3.44 , \textless0.53
103 , Arp 220 , 233.7 , 23.5  , 15.2 , 1.0  , 0.009 , \textless5.18 , \textless2.03
104 , M 31 , 10.8 , 41.2  , 18.2 , 2.9  , 0.487 , \textless2.21 , \textless0.62
105 , NGC 3424 , 162.9 , 32.9  , 0.0 , -- , -- , \textless1.19 , \textless0.34
106 , IC 678 , 168.6 , 6.6  , 19.2 , 1.8  , 0.005 , \textless4.55 , \textless2.85
107 , NGC 5380 , 209.3 , 37.5  , 10.6 , 1.0  , 0.249 , \textless3.30 , \textless0.93
108 , Arp 299 , 172.1 , 58.5  , 0.0 , -- , -- , \textless1.25 , \textless0.23
109 , NGC 2146 , 94.5 , 78.3  , 4.2 , 1.0  , 0.445 , \textless4.71 , \textless0.73
