index,pi0,kra5,kra50
0,316973706.0,174734016.0,175800481.0
1,16509727.0,8953442.0,8880106.0
2,12450456.0,6735098.0,6683222.0
3,10305112.0,5575316.0,5532254.0
4,8921708.0,4824938.0,4782183.0
5,7926964.0,4281500.0,4247938.0
6,7156692.0,3868694.0,3836771.0
7,6543354.0,3536885.0,3505423.0
8,6038504.0,3260950.0,3236156.0
9,5606015.0,3030004.0,3001270.0
10,5240492.0,2825474.0,2803113.0
11,4922478.0,2656689.0,2636615.0
12,4638523.0,2503532.0,2482735.0
13,4383296.0,2363859.0,2346355.0
14,4158054.0,2244344.0,2221898.0
15,3950174.0,2133426.0,2114108.0
16,3763470.0,2029902.0,2010009.0
17,3590360.0,1936660.0,1918052.0
18,3427456.0,1845629.0,1832750.0
19,3275175.0,1768165.0,1753670.0
20,3141154.0,1695481.0,1679989.0
21,3018013.0,1627679.0,1614214.0
22,2901427.0,1562854.0,1548528.0
23,2783888.0,1501311.0,1489003.0
24,2677956.0,1444182.0,1431802.0
25,2586005.0,1387865.0,1380199.0
26,2488683.0,1340812.0,1329067.0
27,2402519.0,1292113.0,1279319.0
28,2318000.0,1247697.0,1234879.0
29,2237486.0,1203114.0,1192060.0
30,2159618.0,1163072.0,1153034.0
31,2092003.0,1122993.0,1114885.0
32,2019521.0,1088168.0,1079197.0
33,1958076.0,1054246.0,1044074.0
34,1896430.0,1018545.0,1010663.0
35,1835041.0,988569.0,978414.0
36,1781214.0,957268.0,948053.0
37,1723240.0,928947.0,918110.0
38,1672522.0,896749.0,892533.0
39,1622195.0,873582.0,863278.0
40,1574307.0,845577.0,840038.0
41,1528340.0,820429.0,813979.0
42,1484600.0,794719.0,788748.0
43,1439427.0,773331.0,764974.0
44,1401336.0,752203.0,746166.0
45,1359460.0,729428.0,723862.0
46,1321624.0,708662.0,703212.0
47,1285487.0,689220.0,683737.0
48,1250431.0,670810.0,664335.0
49,1214781.0,653125.0,645603.0
50,1184355.0,634467.0,630049.0
51,1149612.0,617658.0,613010.0
52,1119981.0,600613.0,596473.0
53,1089621.0,584213.0,579125.0
54,1062141.0,568900.0,562692.0
55,1031934.0,554152.0,548839.0
56,1007639.0,539854.0,534382.0
57,980769.0,525560.0,521166.0
58,954328.0,512012.0,508319.0
59,929410.0,498811.0,493855.0
60,904305.0,486828.0,481285.0
61,885242.0,474105.0,470170.0
62,859423.0,462181.0,458183.0
63,838411.0,449333.0,447174.0
64,819374.0,439245.0,434967.0
65,798368.0,427608.0,423043.0
66,775431.0,416430.0,413301.0
67,758723.0,406255.0,403703.0
68,740468.0,397475.0,393461.0
69,721471.0,386752.0,384033.0
70,703801.0,378315.0,373982.0
71,688089.0,369132.0,365022.0
72,670944.0,359796.0,356511.0
73,655386.0,350676.0,347135.0
74,639324.0,342122.0,339918.0
75,624534.0,333772.0,330657.0
76,609493.0,325259.0,323105.0
77,595044.0,318901.0,315524.0
78,580520.0,311227.0,308472.0
79,567460.0,304168.0,301972.0
80,553534.0,296537.0,294526.0
81,539821.0,289052.0,286283.0
