KeFangKohtaMurase_lat5__upper_x,KeFangKohtaMurase_lat5__upper_y,KeFangKohtaMurase_5lat__lower_x,KeFangKohtaMurase_5lat__lower_y
10000,2.40722446012396E-07,10000,8.17188553717662E-08
11217.3416791279,2.25465744914186E-07,11217.3416791279,7.73794417884356E-08
12797.2500079693,2.0888401823065E-07,12797.2500079692,7.32704586261079E-08
14599.6807845477,1.93521783492164E-07,14599.6807845477,0.000000069
16655.9752195163,1.8027029549372E-07,16655.9752195163,0.000000065
19066.1990736538,1.65199785343395E-07,19066.1990736538,6.11969612693212E-08
21751.5810097201,1.50565377891702E-07,21751.5810097201,5.7631975578691E-08
24815.1860050702,0.000000138,24899.1709120756,5.42746656077499E-08
28406.0987235401,1.25755233038162E-07,28406.0987235401,5.11129333543485E-08
32406.9603578717,1.1275419311028E-07,32406.9603578717,4.81353855768947E-08
36971.3240053749,0.0000001,37096.4503376064,4.53312927390266E-08
42178.5561995293,8.82058989289704E-08,42178.5561995293,4.2690550345933E-08
48119.2018662414,7.78028060586774E-08,48119.2018662414,4.02036425330008E-08
55082.351525841,6.86266644760199E-08,55082.351525841,3.78616077755788E-08
62840.4343619708,6.05327663060417E-08,62840.4343619708,3.50771012769404E-08
71691.205647758,5.3393470666817E-08,71691.2056477578,3.23205448214294E-08
81788.5652671342,4.68399166667134E-08,82065.3717777386,2.97806141193529E-08
93623.8825274257,4.10907507218512E-08,93623.8825274259,2.72909690775038E-08
106810.353619661,3.68426373201663E-08,106810.353619661,2.43363769810178E-08
121854.075395935,3.33961714874103E-08,121854.075395935,2.0774737503713E-08
139016.632633495,3.04377343450286E-08,139016.632633495,1.7734345530759E-08
159133.209398242,2.7590418868261E-08,159133.209398242,1.51389162605853E-08
181546.352379466,2.51462908045246E-08,181546.352379467,1.29233292058906E-08
206417.674924931,2.24238872190751E-08,207116.278160437,0.000000011
237087.299828238,1.98874087078458E-08,237087.299828238,9.31524566592366E-09
270479.89946333,1.7734345530759E-08,270479.89946333,0.000000008
308575.685271605,1.59009034642147E-08,308575.685271605,6.78818319884878E-09
352037.078281115,1.41794298306132E-08,352037.078281115,5.7947296014191E-09
401619.798318272,1.27135080639504E-08,401619.798318272,4.94666837501637E-09
459736.696635122,1.13371102402717E-08,459736.696635122,4.17689040841075E-09
524488.387085932,1.010972486536E-08,524488.387085932,3.56560065962952E-09
563054.270561545,9.57288086277453E-09,563054.270561545,3.2853956495725E-09
