Fermi_fig17_pi0_x,Fermi_fig17_pi0_y,Fermi_fig17_total_x,Fermi_fig17_total_y,Fermi_fig17_data_x,Fermi_fig17_data_y
0.2069723279,1.65362204238139E-05,0.2093506516,3.33035341530347E-05,0.2382589263,3.17243518305155E-05
0.2254901254,1.78242704693564E-05,0.2229284496,0.000034197,0.3766658821,3.77226045872993E-05
0.2401146769,1.86941961006319E-05,0.2373868592,3.50911313601397E-05,0.5984793642,4.04801711315381E-05
0.2491984362,1.90123711616048E-05,0.2527829939,3.56175930362433E-05,0.9461419184,3.94548392742063E-05
0.275399468,1.96976239225864E-05,0.2691776715,3.59848542137959E-05,1.5033121944,3.65320543177203E-05
0.2932609761,2.01525594122E-05,0.2866356543,3.64522761471039E-05,2.3766010472,3.03315183106895E-05
0.3060989907,2.0448134434161E-05,0.3052259046,3.6876924468074E-05,3.7761495033,2.36188665816839E-05
0.3382826173,2.12272405789044E-05,0.3250218578,3.73312186071389E-05,5.9697519236,1.79259381710654E-05
0.3602225206,2.17103185247368E-05,0.3461017116,3.78787508353757E-05,9.4852587008,1.30915673241073E-05
0.3759918945,2.20323861467564E-05,0.3622862714,3.84673961694038E-05,14.9953388564,9.87254153082751E-06
0.4179047268,2.23001174261996E-05,0.3969612707,3.88691869728442E-05,23.8258926299,7.73712097134227E-06
0.4450086596,2.24407694644636E-05,0.4227068794,0.000039257,37.6665882092,6.02482296061255E-06
0.4658183494,2.25434831024469E-05,0.450122264,3.97669080723977E-05,59.8479364157,5.00223793491517E-06
0.5192253658,2.27774415707022E-05,0.4793157208,4.02301699733822E-05,94.614191844,3.97087114006785E-06
0.5529006235,2.29286904450667E-05,0.5104025696,4.07122987812302E-05,,
0.5787556046,0.000023058,0.5435056097,4.13367699220948E-05,,
0.6451111058,2.2943870461331E-05,0.5787556046,4.18875690906501E-05,,
0.6869509006,2.2792521452143E-05,0.6162917988,4.19569330326697E-05,,
0.7190743995,2.27082025188924E-05,0.6562624677,4.14737869617221E-05,,
0.8015177345,2.24630586324195E-05,0.6988255034,4.10233461302134E-05,,
0.8535015513,0.000022337,0.7441490382,4.06584448410116E-05,,
0.8934133646,2.22661975901318E-05,0.7924121092,4.0283456644262E-05,,
0.9901722192,2.17534672460555E-05,0.8438053649,3.99119269208566E-05,,
1.0543915484,2.12905549355753E-05,0.8959689368,3.96329069237743E-05,,
1.1036974677,2.10217228773426E-05,0.9958450147,3.8434313649062E-05,,
1.2232306054,2.02461395993578E-05,1.0604322629,3.77536107243694E-05,,
1.3025653388,1.98087469804908E-05,1.1292084286,3.69502164437377E-05,,
1.3595874257,1.95207992092493E-05,1.2024451913,3.61878607822124E-05,,
1.5025361295,1.87996583758755E-05,1.2804318507,3.54295078462327E-05,,
1.599985705,1.81937458602002E-05,1.3634764696,0.000034687,,
1.6700278911,1.77903871648666E-05,1.4519070906,3.39826285084851E-05,,
1.8351031999,1.68603878755426E-05,1.5460730323,0.000033062,,
1.954121987,1.62953940163942E-05,1.6463462688,3.20387534789407E-05,,
2.0396671114,1.59644700208946E-05,1.7531228991,3.10266729840038E-05,,
2.2412797192,1.509116864709E-05,1.8668247123,3.0056507930611E-05,,
2.3866417859,1.45613486191736E-05,1.9879008528,2.91455986958638E-05,,
2.4840157996,1.42091027051581E-05,2.1168295956,2.82249108178935E-05,,
2.7217649299,1.33432219598248E-05,2.2541202346,2.73423533446908E-05,,
2.8982896947,1.28067811983117E-05,2.4003150951,2.6417364011525E-05,,
3.0165387349,1.25245792981003E-05,2.5559916758,2.53385249175155E-05,,
3.3052564882,1.17315497066375E-05,2.7217649299,2.42635643534367E-05,,
3.5196246056,1.12673580490627E-05,2.8982896947,2.32342078731823E-05,,
3.6632238574,0.000011013,3.086263278,2.22485207709305E-05,,
3.9909722009,1.03077203772149E-05,3.2864282126,2.13117016594246E-05,,
4.2498135951,9.85410809912803E-06,3.4995751897,2.04210857868883E-05,,
